repository_name,date,clones,unique_visitors/cloners
2018-09-01-steward,2022-04-28,2,1
academic-ads-bibtex,2022-05-09,1,1
chun_codes,2022-04-29,1,1
chun_codes,2022-04-30,2,1
chun_codes,2022-05-02,2,1
chun_codes,2022-05-10,1,1
closed-discussion-message,2022-04-28,1,1
containeraction,2022-04-28,3,2
Evolution-of-Galaxies,2022-05-01,4,2
Evolution-of-Galaxies,2022-05-05,6,3
Evolution-of-Galaxies,2022-05-09,2,1
Extract1D,2022-04-28,2,1
Extract1D,2022-04-29,3,2
Extract1D,2022-05-01,2,1
Extract1D,2022-05-02,2,1
Extract1D,2022-05-08,2,1
figshare_actions,2022-04-27,2,1
figshare_actions,2022-05-03,2,1
figshare_test,2022-05-03,2,1
figshare_test,2022-05-08,2,1
figshare_test,2022-05-10,2,1
github-stats,2022-04-28,3,2
github-stats,2022-04-29,4,3
github-stats,2022-04-30,3,2
github-stats,2022-05-01,4,3
github-stats,2022-05-02,3,2
github-stats,2022-05-03,3,2
github-stats,2022-05-04,3,2
github-stats,2022-05-05,3,2
github-stats,2022-05-06,4,3
github-stats,2022-05-07,4,3
github-stats,2022-05-08,3,2
github-stats,2022-05-09,4,3
github-stats,2022-05-10,3,2
