repository_name,date,clones,unique_visitors/cloners
academic-ads-bibtex,2022-01-18,1,1
figshare-actions-publish-test,2022-01-17,2,1
figshare_test2,2022-01-09,1,1
github-stats,2022-01-08,3,2
github-stats,2022-01-09,3,2
github-stats,2022-01-10,3,2
github-stats,2022-01-11,3,2
github-stats,2022-01-12,5,3
github-stats,2022-01-13,4,3
github-stats,2022-01-14,3,2
github-stats,2022-01-15,3,2
github-stats,2022-01-16,4,3
github-stats,2022-01-17,3,2
github-stats,2022-01-18,3,2
github-stats,2022-01-19,3,2
github-stats,2022-01-20,4,3
github-stats-pages,2022-01-10,2,1
github-stats-pages,2022-01-14,3,2
github-stats-pages,2022-01-17,1,1
github-stats-pages,2022-01-18,1,1
GNIRSLongSlit,2022-01-10,1,1
GNIRSLongSlit,2022-01-20,1,1
MMTtools,2022-01-07,2,1
MMTtools,2022-01-20,1,1
MZEvolve,2022-01-18,2,1
