repository_name,date,clones,unique_visitors/cloners
academic-ads-bibtex,2021-07-07,1,1
astrochun,2021-07-02,1,1
astrochun.github.io,2021-06-26,1,1
astrochun.github.io,2021-07-07,3,3
DevOps_guide,2021-06-27,1,1
figshare-actions-publish-test,2021-06-25,12,8
figshare-actions-publish-test,2021-06-27,1,1
figshare-actions-publish-test,2021-07-01,1,1
github-stats,2021-06-25,2,2
github-stats,2021-06-26,3,3
github-stats,2021-06-27,2,2
github-stats,2021-06-28,3,3
github-stats,2021-06-29,3,3
github-stats,2021-06-30,2,2
github-stats,2021-07-01,3,3
github-stats,2021-07-02,3,3
github-stats,2021-07-03,3,3
github-stats,2021-07-04,2,2
github-stats,2021-07-05,3,3
github-stats,2021-07-06,2,2
github-stats,2021-07-07,2,2
github-stats-pages,2021-06-25,2,2
github-stats-pages,2021-06-27,41,3
github-stats-pages,2021-07-01,1,1
github-stats-pages,2021-07-02,2,2
github-stats-pages,2021-07-03,1,1
github-stats-pages,2021-07-06,27,3
IntroPythonAstronomy,2021-07-07,1,1
manifests_with_flux,2021-07-06,1,1
Metallicity_Stack_Commons,2021-07-01,1,1
MMTtools,2021-06-27,1,1
MMTtools,2021-07-04,1,1
MMTtools,2021-07-07,1,1
