repository_name,date,views,unique_visitors/cloners
github-stats-pages,2022-10-09,1,1
github-stats-pages,2022-10-10,1,1
github-stats-pages,2022-10-13,1,1
github-stats-pages,2022-10-14,1,1
github-stats-pages,2022-10-15,3,2
github-stats-pages,2022-10-17,1,1
github-stats-pages,2022-10-18,1,1
github-stats-pages,2022-10-19,3,2
github-stats-pages,2022-10-21,1,1
GNIRSLongSlit,2022-10-12,3,1
GNIRSLongSlit,2022-10-15,3,1
