repository_name,date,clones,unique_visitors/cloners
sqltest-github-stats,2022-10-15,7,5
sqltest-github-stats,2022-10-16,8,5
sqltest-github-stats,2022-10-17,6,4
sqltest-github-stats,2022-10-18,6,4
sqltest-github-stats,2022-10-19,4,3
sqltest-github-stats,2022-10-20,7,4
sqltest-github-stats,2022-10-21,5,4
sqltest-github-stats,2022-10-22,5,4
sqltest-github-stats,2022-10-23,5,4
sqltest-github-stats,2022-10-24,5,4
sqltest-github-stats,2022-10-25,5,4
sqltest-github-stats,2022-10-26,6,4
sqltest-github-stats,2022-10-27,4,3
sqltest-github-stats,2022-10-28,5,4
system_profiler,2022-10-21,1,1
system_profiler,2022-10-22,1,1
Telluric_Flux,2022-10-21,1,1
tep-usage-analysis,2022-10-17,1,1
tep-usage-analysis,2022-10-21,1,1
tep-usage-analysis,2022-10-26,2,1
test-github-stats,2022-10-15,5,3
test-github-stats,2022-10-16,6,4
test-github-stats,2022-10-17,5,4
test-github-stats,2022-10-18,4,3
test-github-stats,2022-10-19,4,3
test-github-stats,2022-10-20,6,4
test-github-stats,2022-10-21,5,4
test-github-stats,2022-10-22,6,4
test-github-stats,2022-10-23,4,3
test-github-stats,2022-10-24,5,4
test-github-stats,2022-10-25,4,3
test-github-stats,2022-10-26,5,4
test-github-stats,2022-10-27,4,3
test-github-stats,2022-10-28,4,3
test-stats,2022-10-22,1,1
uarizona-salary-app,2022-10-19,1,1
uarizona-salary-app,2022-10-21,1,1
uarizona-salary-app,2022-10-22,2,2
uarizona-salary-app,2022-10-25,2,1
uarizona-salary-app,2022-10-27,4,2
voxcharta-my-voting-record,2022-10-22,2,2
voxcharta-my-voting-record,2022-10-27,1,1
Zcalbase,2022-10-21,1,1
Zcalbase,2022-10-23,2,1
Zcalbase_gal,2022-10-21,1,1
Zcalbase_gal,2022-10-24,1,1
