repository_name,date,clones,unique_visitors/cloners
old_website_nightsky,2022-09-08,1,1
site-hugo-academic,2022-09-04,1,1
sqltest-github-stats,2022-08-27,1,1
sqltest-github-stats,2022-08-28,7,5
sqltest-github-stats,2022-08-29,7,5
sqltest-github-stats,2022-08-30,10,6
sqltest-github-stats,2022-08-31,8,5
sqltest-github-stats,2022-09-01,6,4
sqltest-github-stats,2022-09-02,6,4
sqltest-github-stats,2022-09-03,5,4
sqltest-github-stats,2022-09-04,7,5
sqltest-github-stats,2022-09-05,7,5
sqltest-github-stats,2022-09-06,4,3
sqltest-github-stats,2022-09-07,4,3
sqltest-github-stats,2022-09-08,4,3
sqltest-github-stats,2022-09-09,4,3
Telluric_Flux,2022-09-07,1,1
tep-usage-analysis,2022-08-27,2,1
tep-usage-analysis,2022-08-28,10,3
tep-usage-analysis,2022-08-29,5,4
tep-usage-analysis,2022-08-30,1,1
test-github-stats,2022-08-27,1,1
test-github-stats,2022-08-28,4,3
test-github-stats,2022-08-29,4,3
test-github-stats,2022-08-30,5,4
test-github-stats,2022-08-31,5,4
test-github-stats,2022-09-01,4,3
test-github-stats,2022-09-02,5,4
test-github-stats,2022-09-03,4,3
test-github-stats,2022-09-04,3,3
test-github-stats,2022-09-05,3,3
test-github-stats,2022-09-06,2,2
test-github-stats,2022-09-07,3,3
test-github-stats,2022-09-08,2,2
test-github-stats,2022-09-09,2,2
uarizona-salary-app,2022-08-27,133,1
voxcharta-my-voting-record,2022-09-01,1,1
voxcharta-my-voting-record,2022-09-03,1,1
Zcalbase_gal,2022-08-30,1,1
