repository_name,site,views,unique_visitors/cloners
Evolution-of-Galaxies,github.com,1,1
figshare_autosync_check_queue,github.com,3,1
github-stats,github.com,10,2
github-stats-pages,github.com,1,1
MMTtools,bitbucket.org,1,1
site-hugo-academic,github.com,1,1
uarizona-salary-app,t.co,69,52
uarizona-salary-app,sapp4ua.herokuapp.com,13,7
uarizona-salary-app,github.com,10,5
uarizona-salary-app,dashboard.heroku.com,5,1
uarizona-salary-app,m.facebook.com,3,3
uarizona-salary-app,github-help-wanted.com,1,1
voxcharta-my-voting-record,uiuc-quasars.voxcharta.org,1,1
voxcharta-my-voting-record,DuckDuckGo,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,1,1
Zcalbase_gal,github.com,4,2
