repository_name,date,clones,unique_visitors/cloners
figshare_test,2022-05-03,2,1
figshare_test2,2022-04-24,2,1
github-stats,2022-04-24,3,2
github-stats,2022-04-25,3,2
github-stats,2022-04-26,4,3
github-stats,2022-04-27,3,2
github-stats,2022-04-28,3,2
github-stats,2022-04-29,4,3
github-stats,2022-04-30,3,2
github-stats,2022-05-01,4,3
github-stats,2022-05-02,3,2
github-stats,2022-05-03,3,2
github-stats,2022-05-04,3,2
github-stats,2022-05-05,3,2
github-stats,2022-05-06,4,3
github-stats-pages,2022-04-24,12,4
github-stats-pages,2022-04-25,7,3
github-stats-pages,2022-04-27,23,4
github-stats-pages,2022-04-29,1,1
github-stats-pages,2022-04-30,2,1
github-stats-pages,2022-05-01,45,5
github-stats-pages,2022-05-02,2,2
github-stats-pages,2022-05-03,2,1
github-stats-pages,2022-05-04,1,1
github-stats-pages,2022-05-05,41,4
github-stats-pages,2022-05-06,4,3
GNIRSLongSlit,2022-04-25,1,1
manifests_with_flux,2022-04-27,2,1
MZEnv,2022-04-29,1,1
overleaf_github_demo,2022-04-24,1,1
PeakFlows,2022-04-28,2,1
PyEmLineFit,2022-04-26,1,1
PyMontage,2022-04-24,2,1
PyMontage,2022-04-27,1,1
simplenodeapp,2022-04-26,1,1
site-hugo-academic,2022-04-26,1,1
site-hugo-academic,2022-04-30,2,1
site-hugo-academic,2022-05-01,2,1
system_profiler,2022-04-27,1,1
test-github-stats,2022-04-24,3,2
test-github-stats,2022-04-25,3,2
test-github-stats,2022-04-26,5,4
test-github-stats,2022-04-27,5,4
test-github-stats,2022-04-28,5,4
test-github-stats,2022-04-29,4,3
test-github-stats,2022-04-30,5,4
test-github-stats,2022-05-01,6,5
test-github-stats,2022-05-02,3,2
test-github-stats,2022-05-03,6,5
test-github-stats,2022-05-04,5,4
test-github-stats,2022-05-05,3,2
test-github-stats,2022-05-06,3,2
uarizona-salary-app,2022-04-28,2,1
uarizona-salary-app,2022-04-29,2,1
uarizona-salary-app,2022-05-01,2,1
uarizona-salary-app,2022-05-02,2,1
uarizona-salary-app,2022-05-03,2,1
uarizona-salary-app,2022-05-05,10,6
uarizona-salary-app,2022-05-06,2,1
voxcharta-my-voting-record,2022-04-23,25,6
voxcharta-my-voting-record,2022-04-24,2,1
voxcharta-my-voting-record,2022-04-25,6,3
voxcharta-my-voting-record,2022-04-28,3,2
voxcharta-my-voting-record,2022-04-29,2,1
voxcharta-my-voting-record,2022-05-03,1,1
Zcalbase,2022-04-23,2,1
Zcalbase,2022-04-28,1,1
Zcalbase,2022-04-30,2,1
Zcalbase,2022-05-01,4,2
Zcalbase,2022-05-03,4,2
Zcalbase,2022-05-05,4,2
Zcalbase,2022-05-06,2,1
Zcalbase_gal,2022-04-23,1,1
