repository_name,date,clones,unique_visitors/cloners
sqlmodel-learning,2023-02-02,2,1
sqltest-github-stats,2023-01-29,3,2
sqltest-github-stats,2023-01-30,4,3
sqltest-github-stats,2023-01-31,3,2
sqltest-github-stats,2023-02-01,1,1
sqltest-github-stats,2023-02-02,4,3
sqltest-github-stats,2023-02-03,5,3
sqltest-github-stats,2023-02-04,3,2
sqltest-github-stats,2023-02-05,3,2
sqltest-github-stats,2023-02-06,4,3
sqltest-github-stats,2023-02-07,3,2
sqltest-github-stats,2023-02-08,3,2
sqltest-github-stats,2023-02-09,3,2
sqltest-github-stats,2023-02-10,8,5
system_profiler,2023-02-02,2,1
system_profiler,2023-02-08,1,1
Telluric_Flux,2023-02-02,2,1
Telluric_Flux,2023-02-06,1,1
test-github-stats,2023-01-29,3,2
test-github-stats,2023-01-30,2,2
test-github-stats,2023-01-31,5,3
test-github-stats,2023-02-01,5,4
test-github-stats,2023-02-02,6,4
test-github-stats,2023-02-03,1,1
test-github-stats,2023-02-04,5,3
test-github-stats,2023-02-05,7,5
test-github-stats,2023-02-06,6,5
test-github-stats,2023-02-07,4,3
test-github-stats,2023-02-08,5,4
test-github-stats,2023-02-09,3,2
test-github-stats,2023-02-10,4,3
test-stats,2023-02-02,2,1
uarizona-salary-app,2023-01-29,1,1
uarizona-salary-app,2023-02-02,2,1
uarizona-salary-app,2023-02-06,1,1
voxcharta-my-voting-record,2023-01-29,1,1
voxcharta-my-voting-record,2023-01-30,1,1
voxcharta-my-voting-record,2023-02-01,1,1
voxcharta-my-voting-record,2023-02-02,2,1
voxcharta-my-voting-record,2023-02-08,1,1
voxcharta-my-voting-record,2023-02-10,1,1
Zcalbase,2023-02-02,2,1
Zcalbase,2023-02-05,1,1
Zcalbase_gal,2023-01-29,1,1
Zcalbase_gal,2023-01-30,1,1
Zcalbase_gal,2023-02-02,2,1
Zcalbase_gal,2023-02-04,1,1
Zcalbase_gal,2023-02-08,1,1
