repository_name,date,views,unique_visitors/cloners
figshare-actions-publish-test,2021-06-30,6,1
figshare_autosync_check,2021-07-07,1,1
github-stats,2021-07-01,2,1
github-stats,2021-07-05,1,1
github-stats-pages,2021-06-27,29,1
github-stats-pages,2021-06-28,1,1
github-stats-pages,2021-06-29,3,1
github-stats-pages,2021-07-05,4,2
github-stats-pages,2021-07-06,23,2
github-stats-pages,2021-07-07,2,1
github-stats-pages,2021-07-09,2,1
IntroPythonAstronomy,2021-07-09,3,1
MMTtools,2021-06-27,15,2
MMTtools,2021-06-28,2,1
MMTtools,2021-07-04,2,1
MMTtools,2021-07-08,2,1
MZEvolve,2021-07-09,4,1
