repository_name,site,views,unique_visitors/cloners
academic-ads-bibtex,readthedocs.org,1,1
academic-ads-bibtex,github.com,1,1
github-stats,pypi.org,3,2
github-stats-pages,pypi.org,7,1
github-stats-pages,Google,1,1
github-stats-pages,DuckDuckGo,1,1
Metallicity_Stack_Commons,github.com,8,2
