repository_name,site,views,unique_visitors/cloners
astrochun,github.com,1,1
Evolution-of-Galaxies,github.com,1,1
figshare_actions2,github.com,1,1
figshare_autosync_check,github.com,3,1
github-stats,github.com,6,4
github-stats,gather.town,1,1
github-stats-pages,github.com,9,2
github-stats-pages,gather.town,1,1
Metallicity_Stack_Commons,github.com,13,2
MMTtools,github.com,1,1
test-github-stats,github.com,2,1
test-stats,github.com,1,1
voxcharta-my-voting-record,harvard.voxcharta.org,5,3
voxcharta-my-voting-record,general-cu.voxcharta.org,1,1
Zcalbase_gal,github.com,1,1
